cDC1,cDC2,pDC,Eos,Mon,Neu,B
124,90,53,101,133,280,315
18,5,10,26,18,17,0
33,26,26,31,32,57,89
2,11,2,12,50,34,1
9,9,7,33,57,90,0
82,129,75,170,373,307,4283
0,0,0,0,0,0,9700
5,18,7,0,0,8,0
15,2,9,24,127,237,12
2,0,0,0,0,0,0
0,0,0,0,0,0,4533
254,199,100,325,715,1979,109
6,10,5,14,4,0,0
106,96,42,55,103,263,0
45,58,32,54,164,152,9195
16,31,8,2,23,46,0
0,0,0,1,4,2,2949
0,0,0,0,0,0,5134
0,0,0,0,0,0,22480
5,13,4,9,34,33,11343
6,5,8,12,37,18,8271
31,35,30,20,8,18,29
17,9,14,15,13,31,0
0,1,0,0,0,0,2076
4,16,6,18,54,74,148
14,12,4,17,36,21,15950
0,0,0,0,5,3,2616
15,3,6,39,129,75,55
2,19,11,12,33,17,6734
21,12,17,16,66,24,6
71,107,29,8,1,25,0
0,0,0,0,0,0,10054
20,43,20,12,45,27,567
8,3,1,1,0,0,0
20,23,12,37,50,48,755
15,36,11,25,63,80,2082
5,1,1,5,8,27,46
15,31,1,5,9,12,876
8,8,4,39,101,39,1344
0,0,0,0,0,0,10669
76,68,50,66,282,185,494
18,24,12,20,76,75,330
157,203,111,287,661,1115,662
201,96,89,185,513,748,292
14,25,31,2,0,0,0
4,14,5,5,54,22,10335
42,21,24,107,246,322,66
10,1,13,47,32,53,0
24,23,8,30,44,110,38
20,23,0,0,0,0,0
0,0,0,0,0,0,1752
0,0,0,0,0,0,3713
15,0,2,15,2,11,0
4,3,3,7,38,20,140
0,0,0,0,0,0,3091
9,2,1,1,7,18,1
34,15,13,42,127,205,70
51,69,57,76,183,137,1235
1,3,6,1,0,0,16
0,0,0,0,0,0,4247
7,15,4,9,8,6,58
2,1,4,12,10,8,0
10,14,11,3,6,12,112
80,97,24,96,227,281,436
0,0,0,0,0,0,28263
42,52,6,39,125,290,0
0,0,0,0,0,0,15933
0,0,0,0,0,0,2772
49,14,6,25,71,95,0
117,228,124,257,852,413,47093
2,4,0,0,0,0,0
12,19,10,21,79,72,985
14,1,6,14,24,8,66
42,26,20,36,71,128,30
23,46,35,49,103,75,2508
0,0,0,0,0,0,5829
0,0,0,0,0,0,15933
7,2,4,19,78,37,5350
13,30,5,11,15,48,0
19,29,13,8,13,22,0
46,36,4,2,0,1,0
23,3,0,5,7,32,0
0,0,0,0,0,0,14535
2,2,9,0,1,0,0
8,2,1,4,6,5,0
3,2,2,1,1,16,11
0,4,0,0,0,0,2012
10,14,7,16,39,28,0
0,0,0,0,0,0,5789
40,38,21,18,56,38,0
12,40,9,13,40,33,11806
28,38,19,57,37,90,3
7,1,3,11,24,14,1
27,8,27,77,121,90,2
28,23,35,41,41,82,5
31,27,6,25,42,104,0
0,0,0,0,0,0,7717
17,23,20,59,135,74,641
12,18,10,9,29,22,1635
0,0,0,0,0,0,300
0,0,0,1,5,0,154
1,0,7,2,3,2,0
0,0,0,0,0,0,752
1,0,1,0,0,0,0
24,29,18,4,3,22,0
21,22,15,20,104,83,14809
17,23,24,19,55,45,1429
43,13,14,37,69,65,95
8,15,20,30,142,66,13875
52,76,42,55,155,82,4290
1,1,1,2,24,7,0
7,0,1,0,0,0,0
31,3,5,2,24,12,3
2,10,3,5,12,4,10
37,19,16,11,41,56,4
11,12,3,2,18,56,46
43,60,28,42,128,85,8421
0,0,0,0,0,0,277
16,7,8,30,31,44,1
44,20,20,2,0,0,0
0,0,0,0,0,0,8492
1,3,0,0,0,3,0
7,6,0,0,4,12,0
0,0,0,0,0,0,1027
10,3,6,0,5,8,0
0,0,0,0,0,0,743
0,0,0,0,0,0,6596
0,0,0,1,7,0,6826
0,0,0,0,0,0,2424
2,2,0,0,0,0,0
0,0,0,0,0,0,229
19,9,8,4,1,4,31
2,3,0,1,2,3,47
0,0,0,0,0,0,1499
4,2,5,26,107,31,9508
16,4,9,12,20,45,4
10,8,1,24,128,52,3779
0,1,2,0,0,0,0
21,5,0,6,0,1,0
0,0,0,0,0,0,7050
35,60,19,66,175,195,67
0,0,0,0,0,0,8320
11,3,6,2,32,41,1
14,17,2,0,8,27,0
11,10,22,24,49,65,5160
16,7,7,44,249,212,4
0,0,0,0,0,0,1059
94,123,62,40,55,134,80
34,39,11,35,206,205,341
