"","cDC1","cDC2","pDC","Eos","Mon","Neu","B","T","MouseID","Group","Mouse","HSPC","Day","barcode","n.cDC1","n.cDC2","n.pDC","n.Eos","n.Mon","n.Neu","n.B","n.T","biomass","filter","p.cDC1","p.cDC2","p.pDC","p.Eos","p.Mon","p.Neu","p.B","p.T","bin","bin_bias","umap1","umap2","fate","umap1d","shannon","simpson","group","norm.biomass"
"292",0,0,0,22128.6164726203,3110.7093480804,338.64686388815,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",727,0,0,0,17.0925544157801,6.60156302536425,1.53179875218306,0,0,42.3184706091074,TRUE,0,0,0,0.677579132697717,0.261697651525159,0.060723215777124,0,0,"0-0-0-0-0-1-1-1",3,-14.508248401607,4.44925692000836,"Eos.MoNeu",-11.8576845655545,0.438812381356077,0.236560826861507,"True",14.1061568697025
"293",14157.8555808553,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",753,10.8328095768424,0,0,0,0,0,0,0,10.8328095768424,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.8352572751693,11.4539826078943,"cDC1",66.3720660345725,0,0,"True",10.8328095768424
"294",4644.13734021688,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",784,3.55343753635278,0,0,0,0,0,0,0,3.55343753635278,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.116176203214,12.0742909434536,"cDC1",65.4700217887638,0,0,"True",3.55343753635278
"295",439.61494239917,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",792,0.336369087179024,0,0,0,0,0,0,0,0.336369087179024,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-16.3481460996585,12.775488468344,"cDC1",65.3510511893695,0,0,"True",0.336369087179024
"296",0,0,0,0,345.634372008933,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",798,0,0,0,0,0.733507002818249,0,0,0,0.733507002818249,TRUE,0,0,0,0,1,0,0,0,"0-0-0-0-0-0-1-0",1,20.9045624204937,14.7257388356156,"Mon",46.1534168890702,0,0,"True",0.733507002818249
"297",4238.33893184841,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",806,3.24294299434137,0,0,0,0,0,0,0,3.24294299434137,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.7581211892774,10.5180934588109,"cDC1",64.9179334186634,0,0,"True",3.24294299434137
"298",1916.27026173997,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",816,1.46622422616498,0,0,0,0,0,0,0,1.46622422616498,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.6131294512863,10.1386792623587,"cDC1",64.9877657370354,0,0,"True",1.46622422616498
"299",1690.82670153527,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",833,1.29372725838086,0,0,0,0,0,0,0,1.29372725838086,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-16.9597717291428,11.8859955712829,"cDC1",64.726307831984,0,0,"True",1.29372725838086
"300",2333.34084811867,0,0,6575.03442319757,3589.28001701585,7595.36537577707,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",852,1.78534361656559,0,0,5.07867872368723,7.61718810618952,34.3560577275344,0,0,53.915946897664,TRUE,0.0365569918899952,0,0,0.103991867554816,0.155970806537627,0.703480334017562,0,0,"1-0-0-0-0-1-1-1",4,4.98243087169529,5.02564070745377,"cDC1.Eos.MoNeu",-7.05809060884395,1.29099828858815,0.704633747363216,"True",13.478986724416
"301",1115.94562301328,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",875,0.853859990531372,0,0,0,0,0,0,0,0.853859990531372,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.8716303460875,12.0194556441867,"cDC1",66.2792624054057,0,0,"True",0.853859990531372
"302",11824.5147327367,22605.5823586549,10130.8324649763,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",897,9.04746596027688,3.37840428350097,2.0825187217784,0,0,0,0,0,14.5083889655563,TRUE,0.623602384920619,0.232858678625277,0.143538936454104,0,0,0,0,0,"1-1-1-0-0-0-0-0",3,-5.99190895356623,4.91869558575634,"cDC1.cDC2.pDC",6.87795742098174,1.03308960956435,0.620549827462735,"True",4.83612965518543
"303",3066.03241878396,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",933,2.34595876186397,0,0,0,0,0,0,0,2.34595876186397,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.6338399981495,11.0647453069331,"cDC1",65.6319803425139,0,0,"True",2.34595876186397
