cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,9528
0,0,0,0,0,0,4384
5,10,2,3,21,19,3837
0,0,0,0,0,0,206
47,15,13,158,266,260,0
29,34,9,21,44,99,106
0,0,0,0,0,0,1529
7,1,0,0,0,0,0
0,0,0,0,0,0,1277
5,24,1,4,10,5,278
12,4,9,2,13,44,28
0,0,0,0,0,0,29
18,34,6,14,70,58,0
33,51,17,21,58,69,196
0,0,0,0,0,0,127
0,7,1,12,5,7,47
2,1,0,2,1,0,2711
1,0,0,0,0,0,1302
2,0,0,0,0,1,0
7,0,0,0,0,0,0
9,0,1,1,0,2,0
13,0,0,0,0,3,0
5,16,13,0,1,0,511
0,0,0,0,0,0,386
0,0,0,0,0,0,2419
0,27,0,0,0,0,0
0,3,1,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,1352
6,10,3,42,47,27,0
0,0,0,0,0,0,51
0,0,0,0,0,0,19
0,0,0,0,0,0,4356
2,3,13,8,30,12,3352
5,5,1,0,4,6,309
0,0,6,2,4,7,10827
0,0,0,0,0,1,494
0,27,5,0,0,0,0
0,0,0,0,0,0,790
0,0,0,0,1,0,0
2,3,5,12,23,7,6
0,0,0,0,0,0,497
17,1,1,1,0,1,157
10,25,10,23,57,42,99
0,6,7,0,14,4,7
0,0,0,18,3,0,0
9,1,4,24,18,20,17
0,0,0,0,0,0,961
6,1,1,37,30,19,0
2,17,22,8,25,14,6142
42,99,15,26,36,173,0
0,0,6,0,0,0,0
0,0,0,0,0,0,2349
1,13,15,9,12,10,471
31,38,17,43,29,58,0
0,13,0,0,0,0,0
1,0,0,0,2,0,1
0,14,0,9,1,0,0
0,0,0,0,0,0,4472
22,65,10,6,40,68,0
0,0,0,0,0,0,2902
0,0,0,0,0,0,1774
0,0,0,0,0,0,29
1,0,0,0,4,7,0
0,0,0,0,1,0,0
14,12,13,27,13,62,153
0,84,4,0,0,0,0
5,15,0,4,4,12,0
0,0,0,0,0,0,1881
0,0,0,0,0,0,1381
5,0,7,3,1,3,174
5,6,11,0,1,8,0
6,43,9,9,9,22,311
1,7,2,3,16,13,0
2,2,1,0,0,1,0
12,3,4,3,15,15,872
16,36,2,12,41,47,0
4,5,0,0,3,6,146
3,0,0,0,0,0,238
7,15,7,3,6,22,675
11,0,4,7,11,44,0
3,14,8,8,18,5,434
39,22,25,45,90,185,7
0,0,0,0,0,0,606
0,0,0,0,0,0,78
60,30,30,36,38,103,1
7,38,8,10,6,5,0
3,4,1,2,8,23,0
0,0,0,0,0,0,1111
1,10,1,2,9,1,563
2,5,1,13,26,5,3295
0,0,0,0,0,0,242
0,75,2,4,9,8,0
3,0,7,2,1,8,7
7,15,4,5,17,11,136
2,0,0,0,3,0,184
0,1,0,0,0,0,0
26,0,1,1,0,8,0
0,0,0,0,1,1,0
10,1,7,15,5,20,829
0,0,0,0,0,0,2039
0,9,8,0,0,3,0
1,3,3,3,2,12,12
0,0,0,0,0,0,1124
16,0,1,2,2,10,0
0,0,0,0,0,0,102
6,39,5,6,36,14,836
39,16,3,38,100,112,0
0,0,0,0,0,0,7143
0,0,0,0,0,0,1074
0,5,6,0,0,0,0
26,0,0,14,12,8,0
0,40,1,5,12,4,0
7,10,16,11,22,25,698
4,0,0,0,0,2,0
20,20,12,10,32,44,1
29,2,0,3,22,10,0
1,7,3,6,3,10,277
1,40,0,9,2,7,0
68,55,75,36,70,66,3333
1,2,0,0,0,0,494
15,11,5,15,15,55,295
4,17,4,16,20,34,0
0,0,0,0,0,0,134
15,9,5,107,105,131,41
0,2,0,22,8,12,0
6,6,4,8,20,16,1563
10,0,0,0,4,8,0
33,13,15,43,55,107,31
0,0,0,0,0,0,1001
12,6,7,68,30,67,2
4,6,10,23,11,26,1012
60,27,4,18,88,244,0
0,0,0,1,1,0,0
0,0,10,0,5,6,484
31,36,22,14,24,60,5575
5,8,9,7,19,37,39
2,13,2,2,20,12,2
0,19,6,0,1,1,4212
11,2,0,4,20,14,2901
0,0,0,0,0,0,1075
2,8,6,77,30,33,0
0,19,0,2,1,0,0
